rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_duration,koi_depth,koi_prad,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0,7.633,5.12E+03,39.87,1,6144,4.402,1.091
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1,5.588,7.24E+02,2.82,1,5481,4.369,1.036
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.992,4.6297,2.21E+03,3.86,2,5031,4.485,0.848
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1,2.5819,1.04E+03,2.65,3,5031,4.485,0.848
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1,3.2554,1.12E+03,3.1,1,5015,4.499,0.826
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1,4.7971,1.80E+03,3.36,1,5586,4.56,0.798
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.978,6.473,6.52E+02,2.12,2,5586,4.56,0.798
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,1,2.22739,9.80E+03,12.21,1,5712,4.359,1.082
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.3827,8.60E+02,6.54,1,5550,4.468,0.91
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1,3.7362,4.60E+02,2.1,1,6075,4.486,0.969
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.2514,1.18E+04,12.42,1,6074,4.391,1.063
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1,2.9472,6.02E+02,2.94,1,5779,4.339,1.087
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.998,10.5989,2.79E+03,5.5,1,5468,4.367,1.046
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1,2.2514,1.04E+03,2.52,1,5592,4.582,0.787
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1,3.1744,1.49E+03,4.43,1,6174,4.417,1.103
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1,2.50587,1.68E+04,12.21,1,5532,4.452,0.955
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0,14.561,8.50E+03,7.34,1,5040,4.628,0.705
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1,2.6557,4.27E+02,1.89,1,5880,4.518,0.917
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1,3.15,1.01E+03,3.25,1,5714,4.428,1.015
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,1,2.6255,1.02E+03,3.95,2,5714,4.428,1.015
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,1,3.573,1.51E+03,3.07,1,5129,4.595,0.763
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1,3.3539,5.12E+02,2.64,1,5854,4.406,1.012
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,1,3.0014,1.92E+02,1.79,2,5779,4.339,1.087
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.014,2.3078,2.44E+04,15.03,1,6108,4.469,0.956
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1,3.0249,1.13E+03,2,2,4126,4.661,0.615
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1,2.0805,1.31E+03,2.16,1,4126,4.661,0.615
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1,4.007,1.12E+03,1.99,3,4126,4.661,0.615
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1,2.683,5.23E+03,6.02,1,5497,4.577,0.809
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,0.999,3.362,6.26E+03,7.51,1,5446,4.507,0.781
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1,1.1196,8.22E+02,1.99,1,4149,4.698,0.564
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.5036,1.45E+04,11.23,1,5746,4.393,0.924
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1,1.9982,9.71E+02,2.34,1,5005,4.595,0.765
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,0.993,0.558,5.56E+02,19.45,2,5005,4.595,0.765
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,0.871,3.133,2.32E+01,0.55,3,5779,4.339,1.087
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1,2.5237,2.80E+03,2.65,1,3688,4.79,0.473
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1,4.3084,2.79E+03,5.31,1,5992,4.415,0.989
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1,7.5377,3.00E+03,4.86,1,5485,4.556,0.867
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1,2.7594,1.22E+03,1.93,1,4077,4.702,0.56
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1,1.369,1.05E+03,1.91,2,4077,4.702,0.56
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,1,3.8896,9.17E+02,2.66,1,5557,4.603,0.75
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.998,6.802,6.15E+02,2.87,2,5854,4.406,1.012
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.813,7.25E+02,21.55,1,5295,4.551,0.811
73,3246984,K00799.01,,CANDIDATE,CANDIDATE,0.773,2.1145,1.62E+03,32.43,1,5735,4.41,0.973
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,1,3.0099,8.38E+02,3.12,1,6214,4.442,1.076
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,1,4.0491,9.50E+02,3.32,2,6214,4.442,1.076
76,12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,2.505,4.60E+02,1.88,,5799,4.539,0.878
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,1,2.7245,1.12E+03,2.59,1,5354,4.587,0.788
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.989,5.039,9.31E+02,2.36,2,5354,4.587,0.788
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,1,5.1497,6.11E+03,7.4,1,5795,4.508,0.919
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.8868,1.98E+03,46.58,1,6017,4.22,1.339
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.836,8.72E+02,28.59,1,5927,4.409,1.06
82,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,1,2.4282,3.82E+02,2.06,1,5519,4.35,1.062
83,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,1,2.0844,1.30E+03,2.77,1,5653,4.656,0.679
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.0792,1.10E+04,27.51,1,5255,4.678,0.636
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,1,3.5089,5.74E+03,7.73,1,5988,4.541,0.836
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,1,3.3203,1.49E+03,1.96,2,3950,4.754,0.493
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1,4.758,1.39E+03,1.83,3,3950,4.754,0.493
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.952,5.351,1.04E+02,1.31,4,5854,4.406,1.012
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.994,2.186,5.21E+02,1.2,4,3950,4.754,0.493
90,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,1,2.3111,8.54E+03,7.34,1,5557,4.592,0.774
91,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.999,5.228,9.87E+02,2.32,1,5395,4.615,0.734
92,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1,2.38963,7.97E+03,9.73,1,5539,4.322,1.106
93,3453214,K00802.01,,CANDIDATE,CANDIDATE,1,2.0038,2.17E+04,13.6,1,5710,4.492,0.905
94,3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,0,6.222,3.23E+02,17.47,2,5657,4.567,0.824
95,3641726,K00804.01,,CANDIDATE,CANDIDATE,1,3.1449,1.02E+03,2.57,1,5349,4.526,0.82
96,3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.053,7.7915,1.69E+04,13.28,1,5627,4.359,1.024
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,1,8.9302,1.06E+04,8.9,2,5485,4.556,0.867
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,0.95,3.262,5.58E+01,0.79,3,5854,4.406,1.012
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,0.745,6.6188,2.03E+04,12.19,1,5485,4.556,0.867
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,,4.803,4.88E+02,1.91,,5485,4.556,0.867
101,3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.1541,8.16E+02,25.69,1,5663,4.53,0.915
102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.414,5.89E+02,1.7,1,4667,4.578,0.731
103,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1,1.9604,1.50E+04,11.3,1,5934,4.491,0.893
104,3940418,K00810.01,,CANDIDATE,CANDIDATE,1,2.335,1.01E+03,2.5,1,5170,4.574,0.807
105,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,1,4.0595,2.11E+03,3.41,1,4905,4.544,0.761
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,1,1.9104,1.63E+03,2.03,1,3950,4.754,0.493
107,5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.0067,1.34E+03,30.26,1,5926,4.506,0.939
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,1,4.4056,8.94E+02,3.12,1,5775,4.405,1.053
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,1,4.1654,1.41E+02,1.7,3,5847,4.191,1.402
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,0.998,4.793,4.18E+02,2.76,3,5775,4.405,1.053
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,1,5.794,9.93E+02,4.02,2,5775,4.405,1.053
112,5358624,K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,0.99,2.59959,2.23E+04,11.58,1,5150,4.572,0.793
113,4544670,K00815.01,,CANDIDATE,CANDIDATE,1,2.9315,4.52E+03,7.61,1,5509,4.482,0.871
114,4664847,K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,1,3.5957,2.47E+03,5.52,1,5973,4.439,1.085
115,4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,1,3.827,1.18E+03,1.8,1,3747,4.728,0.524
116,4913852,K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,1,2.2736,1.56E+03,2.1,1,3692,4.753,0.517
117,4932348,K00819.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.34617,8.29E+04,27.5,1,5575,4.521,0.932
118,4936180,K00820.01,,FALSE POSITIVE,FALSE POSITIVE,0,35.512,2.45E+03,30.09,1,6463,4.5,0.826
119,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0,5.0642,6.16E+02,13.65,1,5514,4.569,0.826
120,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,0.992,6.0995,4.30E+02,2.89,1,5847,4.191,1.402
121,5021899,K00821.01,Kepler-692 b,CONFIRMED,CANDIDATE,1,4.3791,1.18E+03,3.38,1,5601,4.41,0.999
122,5077629,K00822.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.3148,1.51E+04,10.34,1,5690,4.588,0.776
123,5115978,K00823.01,,CANDIDATE,CANDIDATE,,1.8606,8.10E+03,72.77,,6228,4.428,0.99
124,5164255,K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,1,3.3169,1.53E+04,11.01,1,4986,4.496,0.833
125,5252423,K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,1,3.161,8.88E+02,2.11,1,4861,4.574,0.732
126,5252423,K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,1,2.506,4.18E+02,1.46,2,4861,4.574,0.732
127,5272878,K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,1,2.9721,7.81E+02,2.44,1,5776,4.554,0.849
128,5283542,K00827.01,,FALSE POSITIVE,FALSE POSITIVE,0.037,3.065,9.62E+02,3.86,1,6108,4.471,0.997
129,5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.7211,1.18E+03,26.25,1,5764,4.548,0.863
130,5651104,K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,1,1.8411,1.09E+04,8.99,1,5035,4.519,0.791
131,5792202,K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,1,3.897,3.08E+03,5,2,5251,4.581,0.817
132,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,0.998,4.377,5.00E+01,1.06,4,5847,4.191,1.402
133,5792202,K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,1,5.176,5.07E+03,6.5,1,5251,4.581,0.817
134,5370302,K00831.01,,FALSE POSITIVE,FALSE POSITIVE,0.006,3.831,1.62E+04,12.28,1,5810,4.526,0.898
135,5372966,K00832.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.49949,4.48E+04,17.61,1,5670,4.523,0.821
136,5376067,K00833.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.1862,2.45E+03,31.44,1,6046,4.539,0.869
137,5436502,K00834.01,Kepler-238 e,CONFIRMED,CANDIDATE,0.999,8.2183,3.34E+03,7.89,1,5739,4.191,1.384
138,5436502,K00834.02,Kepler-238 d,CONFIRMED,CANDIDATE,0.996,6.7372,5.05E+02,3.06,2,5739,4.191,1.384
139,5436502,K00834.03,Kepler-238 c,CONFIRMED,CANDIDATE,0.997,4.9843,2.85E+02,2.32,3,5739,4.191,1.384
140,5436502,K00834.04,Kepler-238 b,CONFIRMED,CANDIDATE,1,3.388,1.16E+02,1.62,5,5739,4.191,1.384
141,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,0.995,3.5797,1.20E+02,1.53,2,5847,4.191,1.402
142,5436502,K00834.05,Kepler-238 f,CONFIRMED,CANDIDATE,0.989,7.159,3.70E+02,2.67,4,5739,4.191,1.384
143,5456651,K00835.01,Kepler-239 b,CONFIRMED,CANDIDATE,1,2.9076,1.04E+03,2.35,1,4959,4.603,0.756
144,5456651,K00835.02,Kepler-239 c,CONFIRMED,CANDIDATE,0.878,3.57,8.63E+02,2.37,2,4959,4.603,0.756
145,5481416,K00836.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.0918,1.27E+03,17.06,1,4794,4.58,0.701
146,5531576,K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,1,2.6312,8.75E+02,2.25,1,4768,4.536,0.779
147,5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,1,2.3421,3.92E+02,1.48,2,4768,4.536,0.779
148,5534814,K00838.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.2757,6.04E+03,38.33,1,6072,4.47,0.988
149,6291653,K00850.01,Kepler-702 b,CONFIRMED,CANDIDATE,0.999,2.5211,9.77E+03,8.24,1,5386,4.553,0.793
150,6392727,K00851.01,Kepler-703 b,CONFIRMED,CANDIDATE,1,2.7055,3.81E+03,5.39,1,5815,4.54,0.877
151,6422070,K00852.01,Kepler-704 b,CONFIRMED,CANDIDATE,0.876,3.5176,5.11E+02,2.66,1,5653,4.472,0.949
152,6428700,K00853.01,Kepler-242 b,CONFIRMED,CANDIDATE,1,2.9667,1.02E+03,3.01,1,5015,4.499,0.826
153,6428700,K00853.02,Kepler-242 c,CONFIRMED,CANDIDATE,1,4.016,6.48E+02,3.01,2,5015,4.499,0.826
154,5792202,K00841.03,,CANDIDATE,CANDIDATE,1,2.75,6.56E+02,2.19,3,5251,4.581,0.817
155,5794379,K00842.01,Kepler-241 b,CONFIRMED,CANDIDATE,1,3.0957,1.15E+03,2.31,1,4702,4.592,0.686
156,5794379,K00842.02,Kepler-241 c,CONFIRMED,CANDIDATE,0.999,4.3246,1.56E+03,2.64,2,4702,4.592,0.686
157,5881688,K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,1,2.8589,2.88E+03,6.21,1,6073,4.392,1.135
158,6022556,K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,1,3.0694,2.02E+03,4.35,1,5727,4.463,0.978
159,6032497,K00845.01,Kepler-698 b,CONFIRMED,CANDIDATE,1,6.271,1.19E+03,3.75,1,5878,4.444,0.987
160,6061119,K00846.01,Kepler-699 b,CONFIRMED,CANDIDATE,0.985,4.21587,2.54E+04,13.84,1,5862,4.584,0.785
161,6191521,K00847.01,Kepler-700 b,CONFIRMED,CANDIDATE,0.942,11.195,3.60E+03,7.59,1,5510,4.222,1.238
162,6267425,K00848.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.9381,4.36E+03,26.82,1,4968,4.575,0.704
163,3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,0.912,5.9409,2.70E+02,2.29,1,5718,4.181,1.317
164,6276477,K00849.01,Kepler-701 b,CONFIRMED,CANDIDATE,1,3.1775,7.51E+02,2.47,1,5501,4.462,0.918
165,6863998,K00867.01,Kepler-709 b,CONFIRMED,CANDIDATE,1,3.984,1.44E+03,3.68,1,5239,4.523,0.826
166,6867155,K00868.01,,CANDIDATE,CANDIDATE,0.998,8.2284,2.07E+04,10.59,1,4245,4.627,0.657
167,6948054,K00869.01,Kepler-245 b,CONFIRMED,CANDIDATE,1,2.7297,1.12E+03,2.56,1,5103,4.562,0.787
168,6948054,K00869.02,Kepler-245 d,CONFIRMED,CANDIDATE,1,4.7865,1.57E+03,3.03,2,5103,4.562,0.787
169,6948054,K00869.03,Kepler-245 c,CONFIRMED,CANDIDATE,1,2.2641,8.12E+02,2.32,4,5103,4.562,0.787
170,6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.996,4.685,1.63E+03,1.94,1,3593,4.757,0.491
171,6522242,K00855.01,Kepler-706 b,CONFIRMED,CANDIDATE,0.974,5.0264,2.28E+04,11.38,1,5522,4.586,0.747
172,6526710,K00856.01,,CANDIDATE,CANDIDATE,0.994,7.3051,1.52E+04,14.21,1,6122,4.487,0.964
173,6587280,K00857.01,Kepler-243 b,CONFIRMED,CANDIDATE,1,2.5242,9.08E+02,2.47,1,5237,4.572,0.826
174,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,0.959,11.3364,1.65E+03,8.2,1,5626,3.907,2.057
175,6587280,K00857.02,Kepler-243 c,CONFIRMED,CANDIDATE,0.994,1.611,4.21E+02,2.28,2,5237,4.572,0.826
176,6599919,K00858.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.594,5.73E+03,19.02,1,5697,4.46,0.903
177,6675056,K00859.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.743,1.16E+03,2.66,1,4947,4.516,0.802
178,6685526,K00861.01,Kepler-707 b,CONFIRMED,CANDIDATE,1,1.8119,3.16E+02,1.41,1,5265,4.58,0.81
179,6756669,K00862.01,,FALSE POSITIVE,FALSE POSITIVE,0,3.11058,3.30E+04,14.62,1,5532,4.53,0.806
180,6784235,K00863.01,Kepler-708 b,CONFIRMED,CANDIDATE,1,2.1814,7.81E+02,2.62,1,5895,4.503,0.94
181,6849310,K00864.01,Kepler-244 b,CONFIRMED,CANDIDATE,1,2.7251,1.15E+03,3.11,1,5527,4.484,0.927
182,6849310,K00864.02,Kepler-244 d,CONFIRMED,CANDIDATE,1,4.556,8.41E+02,2.69,2,5527,4.484,0.927
183,6849310,K00864.03,Kepler-244 c,CONFIRMED,CANDIDATE,1,1.6585,5.69E+02,2.67,3,5527,4.484,0.927
184,6862328,K00865.01,,CANDIDATE,CANDIDATE,1,8.1405,7.43E+03,8.98,1,5453,4.342,1.062
185,9471974,K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE,0.987,15.284,1.14E+03,7.78,2,5626,3.907,2.057
186,6862603,K00866.01,,FALSE POSITIVE,FALSE POSITIVE,0,1.8832,1.01E+03,4.37,1,6126,4.458,1.021
187,7366258,K00880.01,Kepler-82 b,CONFIRMED,CANDIDATE,1,3.9783,1.84E+03,3.91,2,5427,4.463,0.929
188,7366258,K00880.02,Kepler-82 c,CONFIRMED,CANDIDATE,0.983,6.3994,3.64E+03,5.51,1,5427,4.463,0.929
189,7366258,K00880.03,Kepler-82 e,CONFIRMED,CANDIDATE,1,2.9003,7.02E+02,2.43,3,5427,4.463,0.929
190,7366258,K00880.04,Kepler-82 d,CONFIRMED,CANDIDATE,1,1.8876,3.92E+02,1.86,4,5427,4.463,0.929
191,7373451,K00881.01,Kepler-712 b,CONFIRMED,CANDIDATE,1,4.1072,1.77E+03,3.07,1,5067,4.585,0.75
192,6948054,K00869.04,Kepler-245 e,CONFIRMED,CANDIDATE,1,2.0642,4.88E+02,1.69,3,5103,4.562,0.787
193,6949607,K00870.01,Kepler-28 b,CONFIRMED,CANDIDATE,1,2.3254,9.61E+02,1.73,1,4072,4.696,0.57
194,6949607,K00870.02,Kepler-28 c,CONFIRMED,CANDIDATE,1,2.8606,8.81E+02,1.65,2,4072,4.696,0.57
195,7031517,K00871.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.4845,4.25E+04,22.94,1,5875,4.572,0.809
196,11869052,K00120.01,,CANDIDATE,CANDIDATE,0.573,2.517,2.19E+02,2.41,1,5670,4.206,1.264
197,7109675,K00872.01,Kepler-46 b,CONFIRMED,CANDIDATE,1,4.4056,7.43E+03,8.46,1,5149,4.447,0.93
198,7109675,K00872.02,Kepler-46 d,CONFIRMED,CANDIDATE,1,2.9004,4.51E+02,1.97,2,5149,4.447,0.93
199,7118364,K00873.01,Kepler-710 b,CONFIRMED,CANDIDATE,1,2.1024,4.52E+02,2.36,1,5754,4.345,1.122
200,7134976,K00874.01,Kepler-246 b,CONFIRMED,CANDIDATE,1,2.2607,7.56E+02,2.35,1,4986,4.496,0.833
201,7134976,K00874.02,Kepler-246 c,CONFIRMED,CANDIDATE,0.997,3.252,3.54E+02,1.55,2,4986,4.496,0.833
202,7135852,K00875.01,,CANDIDATE,CANDIDATE,1,3.0854,2.26E+03,2.62,1,3837,4.747,0.517
203,7270230,K00876.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.0488,2.03E+04,588.66,1,5612,4.566,0.829
204,7287995,K00877.01,Kepler-81 b,CONFIRMED,CANDIDATE,1,2.3892,1.41E+03,2.33,1,4261,4.641,0.633
205,7287995,K00877.02,Kepler-81 c,CONFIRMED,CANDIDATE,1,2.7363,1.25E+03,2.18,2,4261,4.641,0.633
206,7287995,K00877.03,Kepler-81 d,CONFIRMED,CANDIDATE,0.998,2.3734,4.39E+02,1.42,3,4261,4.641,0.633
